WellID	SRSEasting	SRSNorthing	SurfaceElevation	TCCZ_top	TCCZ_depth	LAZ_top	LAZ_Depth	GCU_top	GCU_Depth	GAU_top	GAU_Depth	MBCS_top	MBCS_Depth
BGO9AA	57371.94	76975.69	282.80	224	59	211	72	135	148	125	158		
BGT1	59178.40	76700.60	282.90	222	61	208	75						
BGT10	59507.20	79104.60	215.20	201	14	194	21	156	59	147	68		
BGT11	59697.70	79566.90	222.50					151	72	146	77	68	155
BGT12	58045.90	77291.20	284.20	225	59	214	70						
BGT13	58074.00	77488.90	287.80	224	64	216	72						
BGT14	58143.40	77984.00	280.70	215	66	209	72						
BGT15	58212.80	78479.20	277.50	209	69	201	77	150	128				
BGT16	58283.50	78974.10	250.70					151	100				
BGT17	58350.00	79469.70	240.70					150	91				
BGT18	58416.50	79965.30	216.50					162	55	147	70	55	162
BGT2	59607.20	76957.60	276.40	213	63	198	78						
BGT20	58549.60	80956.40	159.50					151	9	140	20	70	90
BGT21	56952.50	77280.70	294.20	223	71	216	78						
BGT22	56970.30	77860.30	281.00	231	50	216	65	126	155	114	167	53	228
BGT23	56997.00	78279.70	270.00	216	54	210	60						
BGT24	57019.20	78779.20	265.80	227	39	220	46						
BGT25	57041.40	79278.70	264.80	229	36	224	41						
BGT27	57085.90	80277.70	256.90	217	40	207	50	152	105				
BGT28	57108.10	80777.20	258.30	216	42	194	64	156	102	150	108	48	210
BGT29	57130.40	81276.70	243.00	219	24	215	28						
BGT3	60045.90	77197.60	275.70	212	64	198	78	143	133	141	135	65	211
BGT30	57150.40	81726.30	219.00					147	72	141	78		
BGT31	56189.75	77228.97	308.76	220	89	215	94						
BGT32	56121.10	77791.41	310.12	237	73	234	76						
BGT33	56037.17	78404.46	290.42	239	51	223	67						
BGT34	56027.45	78803.92	286.76	228	59	218	69						
BGT35	55929.89	79305.84	267.73	217	51	212	56						
BGT36	55867.47	79801.93	261.36	226	35	215	46	148	113				
BGT37	55805.00	80298.03	251.60	222	30	215	37	133	119				
BGT4	60484.50	77437.60	259.20	213	46	204	55	149	110				
BGT40	55644.42	77297.15	332.32	209	123	203	129						
BGT41	55490.12	77734.75	328.37	224	104	219	109	149	179	142	186		
BGT42	55313.07	78240.66	310.92	224	87	219	92						
BGT43	54816.04	79655.92	277.08	205	72	201	76						
BGT44	54650.36	80127.67	276.20	214	62	209	67						
BGT45	54533.05	80461.74	285.28	218	67	209	76	150	135				
BGT46	55354.96	76714.30	310.00	213	97	205	105	134	176	125	185		
BGT47	54986.57	77051.85	317.32	214	103	210	107	137	180	128	189		
BGT48	54895.09	77135.74	314.33	217	97	209	105						
BGT49	54946.30	76203.90	297.26	222	75	214	83	135	162	126	171		
BGT5	60924.10	77677.60	225.70	214	12	206	20	154	72	146	80	72	154
BGT50	54756.20	76359.30	296.27	221	75	214	82	132	164	124	172		
BGT51	54505.65	75519.81	272.64	193	80	186	87						
BGT53	53422.04	75837.68	278.25	200	78	191	87	120	158	109	169	32	246
BGT54	52889.14	75941.66	279.96	205	75	196	84						
BGT56	56265.77	73521.24	262.94	182	81	175	88						
BGT57	56104.24	73268.51	259.35	179	80	169	90						
BGT58	57399.60	73406.90	285.76	192	94	190	96	112	174	103	183		
BGT59	57123.20	72802.60	281.88	182	100	173	109						
BGT6	58746.70	77254.80	282.20	218	64								
BGT60	58057.22	73120.63	291.42	186	105	176	115						
BGT61	58490.09	72911.77	284.30	184	100	178	106	108	176	101	183		
BGT62	58609.00	72854.40	282.03	190	92	176	106						
BGT63	59146.34	73319.43	293.67	195	99	189	105						
BGT63A	58768.10	73646.40	290.79	198	93	194	97						
BGT64	59499.95	73013.74	283.25	195	88	188	95	123	160				
BGT66	60033.67	74476.55	244.04	195	49	188	56						
BGT67	60426.74	74443.06	242.30	186	57	174	69	135	107	128	115	27	215
BGT7	58935.70	77717.80	276.40	212	64	199	77						
BGT8	59118.60	78161.50	249.30	221	28	217	32	149	100				
BGT9	59316.70	78642.30	226.00	210	16	205	21	149	77	141	85	64	162
BGX11D	59581.40	75300.70	273.80	193	81	177	97	126	148	117	157		
BGX1A	58590.35	76831.89	289.10	211	78	198	91	132	157	127	162		
BGX2B	58256.50	77203.40	289.20	216	73	198	91	140	149	127	162		
BGX4A	57215.60	77879.20	288.80	225	64	213	76	130	159	124	165		
BGX7D	58312.80	78349.30	277.10	225	52	220	57	157	120	144	133		
BGX9D	59522.10	76936.00	277.40	207	70	202	75	139	138	131	146		
BPC1	42023.04	86417.06	281.50	193	89	186	96	155	127	151	131	37	245
BRR1D	50588.20	77365.20	293.80	195	99								
BRR3D	50203.50	77398.30	289.50	208	82	194	96						
BRR6B	51100.00	77054.60	293.90	178	116	166	128	123	171	108	186		
BRR7B	50707.50	77575.40	289.60	202	88	190	100	135	155	122	168		
BRR8B	50116.50	77634.70	276.70	205	72	200	77	131	146	126	151		
CPC1	47183.78	66855.77	285.10	166	120	156	129	96	190	87	199	8	294
FAC1SB	55243.00	78138.00	312.00	224	88	217	95	149	163				
FCH1	52843.11	79488.82	316.80	214	103	202	115	142	175	126	191	67	250
FCH2	52599.59	78500.00	288.70	213	76	197	92	142	147	130	159	58	231
FCH3	52087.22	78059.22	307.20	207	100	196	111	140	167	131	176	59	248
FCH4	52021.03	77514.56	297.50	197	101	187	111	128	170	121	177	42	256
FCH5	51667.65	76992.12	284.20	196	88	191	93	129	155	128	156	36	248
FCH6	51245.70	76410.33	291.50	189	103	182	110	124	168	121	171	25	267
FIW1MC	51354.40	76165.30	293.30	190	103	185	108	121	172				
FIW2MA	51184.50	75930.80	290.50	189	102	180	111	121	170	117	174		
FNB1A	54288.80	80154.50	282.40	208	74	202	80	151	131	138	145		
FNB3A	54116.60	80557.20	282.20	211	71	208	75	146	136	140	142		
FSB100A	50958.40	75534.40	283.80	185	99	183	101	118	166	114	170		
FSB101A	51191.30	75719.00	282.90	191	92	183	100	119	164	116	167		
FSB112A	48809.10	74231.40	227.00	164	63	144	83	103	124	98	129		
FSB113A	51068.10	74167.50	221.30	178	43	171	50	109	112	104	117	22	199
FSB114A	52046.60	75297.40	250.00	178	72	173	77	114	136	110	140		
FSB115C	49736.00	72515.50	205.80	181	25	165	41	101	105	86	120	6	200
FSB116C	50645.90	72725.50	200.50	176	25	171	30						
FSB120A	49175.70	75538.90	278.00	181	97	165	113	112	166	110	168		
FSB121C	48413.10	75155.70	254.40	173	81	162	92						
FSB122C	48195.00	73881.80	216.00	164	52	148	68	104	112				
FSB123C	51750.50	74566.70	236.30	183	53	172	64						
FSB1TA	51658.30	75649.10	275.40	191	84	187	88	117	158	115	160	24	251
FSB76A	51391.60	76131.90	291.50					121	171	117	175		
FSB87A	50115.80	75601.70	285.60	176	110	173	113	115	171	109	177		
FSB98A	50121.60	75389.80	280.70	172	109	160	121	109	172	107	174		
FSB78A	50172.80	74757.70	270.50	163	108	147	124	105	166	100	171		
FSB89C	51345.20	75553.20	279.10	186	93	180	99						
FSB91C	50953.50	75213.30	277.00	168	109	161	116						
FSB93C	50458.30	74897.30	274.00	166	108	151	123						
FSB95C	50016.70	74971.70	281.80	174	108	158	124						
FSB96A	49778.70	74882.20	277.70	167	111	154	124	109	169	101	177		
FSB97A	49965.70	75171.20	283.80	163	121	152	132	111	173	107	177		
FSB79A	50149.60	73664.50	216.10	173	43	164	52	103	113	100	116	18	198
FSB99A	50314.80	75675.60	285.30	178	107	173	112	115	170	112	173		
FSBPC	50140.00	74090.20	230.80	161	70	157	74						
HAA1TA	62953.30	69892.20	290.20	208	83	204	86	117	173	110	181	12	303
HAA2AA	61285.10	70925.40	291.40	190	102	186	106	125	167	119	173	30	262
HAA3AA	60201.90	71488.00	274.50	191	84	179	96	128	147	123	152	10	265
HAA4AA	61929.60	72223.20	299.20	202	97	194	106	125	175	119	181		
HAA6AA	63860.20	71441.00	279.80	210	70	183	97	125	155	120	160	23	257
HC12A	59504.00	73187.00	287.30	195	92	190	97						
HCA4AA	62942.50	72513.70	308.60	234	75	230	79	124	185	117	192		
HCH1	60923.42	72796.39	284.00	202	82	187	97	135	149	126	158	18	266
HCH2	60091.79	72519.61	270.90	196	75	180	91	131	140	123	148	0	271
HCH3	59917.33	71998.82	264.00	197	67	179	85	130	134	123	141		
HCH4	59139.93	72449.59	269.90	193	77	183	87	123	147	114	156		
HCH5	59331.53	71810.36	255.00	192	63	180	75	123	132	119	136	10	265
HIW1BD	58342.20	72564.60	275.80	205	71								
HIW1MC	58471.80	72500.00	272.30	187	86	180	93						
HIW2A	56753.00	73249.70	276.30	202	75	195	81	116	160	110	166		
HIW2MC	56698.40	73226.40	269.00	199	70	194	76						
HIW4MC	56570.10	73160.10	263.40	197	66	190	73	112	151				
HIW5MC	56498.90	73557.90	266.10	184	82	178	88						
HMD1C	56973.30	78731.70	262.70	229	34	226	37	139	124	127	136		
HMD2C	57269.70	79665.80	259.30	222	37	216	43	143	116	138	121		
HMD3C	57745.20	79578.70	257.50	224	34	219	39	155	103	150	108		
HMD4C	58188.50	79160.40	248.50	224	25	220	29	153	96	141	108		
HPC1	62493.60	70395.40	293.50	195	99	188	106	116	178	110	184	28	266
HPT1A	60587.00	74847.10	232.90					119	114	115	118	53	180
HPT2A	60200.50	75061.80	257.80					121	137	118	140	57	201
HSB101C	58604.40	72001.90	256.30	195	61	189	67						
HSB103C	58323.60	71593.90	245.20	195	50	181	64						
HSB104C	58082.60	71376.80	245.50	194	52	185	61						
HSB105C	57883.80	71447.30	247.20	190	57	183	64						
HSB106C	57651.50	71720.90	250.70	192	59	184	67						
HSB107C	57432.00	71698.50	259.30	199	60	191	68						
HSB109C	56895.60	71684.80	259.40	203	56	189	70						
HSB110C	56680.70	71779.30	253.40	192	61	188	65						
HSB111C	56501.90	71919.40	253.70	188	66	172	82						
HSB112C	56417.40	72156.40	252.60	191	62	186	67						
HSB113C	56160.40	72312.30	258.70	188	71	174	85						
HSB115C	56043.20	72653.20	266.80	209	58	197	70						
HSB117A	55170.10	72733.60	234.80	216	19	192	43	123	112	117	118		
HSB118A	55775.60	72696.40	245.00	183	62	173	72	119	126	114	131		
HSB119A	56100.20	73082.50	254.80	213	42	195	60	115	140	111	144		
HSB120A	56431.90	73395.10	266.00	203	63	196	70	112	154	110	156		
HSB121A	57389.60	72024.80	272.30	197	75	184	88	113	159	109	163		
HSB122A	57747.40	72195.90	269.40	188	81	177	92	110	159	108	161		
HSB123A	58124.80	72189.80	263.60	196	68	186	78	114	150	108	156		
HSB124A	58514.60	72199.60	263.90					118	146				
HSB132C	58787.70	71472.40	238.30	163	75	158	80						
HSB139A	57365.40	71127.40	231.50	190	42	179	53	119	113	115	117		
HSB140A	56535.40	70050.30	234.00	194	40	181	53	111	123	105	129		
HSB141A	59168.70	71213.60	252.60	181	72	167	86	119	134	113	140		
HSB143C	52773.20	73738.20	220.10	198	22	179	41						
HSB144A	56200.50	71892.10	233.60	186	48	179	55	109	125	104	130		
HSB145C	57769.00	71098.90	233.70	184	50	175	59						
HSB146A	58454.00	70478.90	249.50	174	76	163	87	119	131	112	138		
HSB148C	55344.20	70151.50	248.90	187	62	175	74						
HSB151C	54014.90	72997.90	211.60	193	19	183	29						
HSB152C	54346.70	72012.00	212.10	198	14	186	26						
HSB65A	58436.00	72436.20	270.70	204	67	199	72	119	152	113	158		
HSB68A	56892.10	71526.90	247.40	198	49	193	54	116	131	110	137		
HSB69A	56465.10	71549.40	234.10	187	47	181	53	115	119	112	122		
HSB83A	58606.10	71648.60	234.90	195	40	188	47	114	121	104	131	12	223
HSB84A	56359.10	71586.20	226.70	205	22	181	46	119	108	111	116		
HSB85A	58943.40	73791.90	292.10	204	88	200	92	126	166	119	173		
HSB86A	55985.90	72520.20	260.00	185	75	178	82	112	148	109	151		
HSBPC	55650.03	72119.31	227.80	188	40	178	50						
HSBTB	58696.10	72394.00	267.10	207	60	199	68	110	157	106	161	9	258
HSL6AA	60555.70	72692.60	274.60	174	101	169	106	126	149	121	154	9	266
HSL8AA	61113.80	72729.40	286.70	193	94	186	101	137	150	129	158	46	241
IDB2A	75391.13	77284.38	301.79	245	57	228	74	142	160	138	164	14	316
IDP3A	37781.10	85104.30	282.20	190	92	182	100	161	121	140	142	36	246
LWR9SB	45406.62	71658.83	238.20	179	59	161	77	110	128	108	130		
MWD1A	75121.90	69592.80	327.50	218	110	211	117	133	195	130	198	22	306
NPN1A	70856.20	66632.10	335.90	235	101	224	112	110	226	105	231	2	334
OFS1SB	54032.60	74967.50	261.60	196	66	186	76	129	133	126	136		
OFS2SB	53848.00	74671.00	257.50	198	60	188	70	125	133	121	137		
OFS3SB	54579.00	74270.00	258.10	196	62	185	73	125	133	120	138		
OFS4SB	55188.00	73874.00	258.70	196	63	192	67	127	132	122	137		
OFS5SB	54298.00	73623.00	228.70	189	40	178	51	122	107	117	112		
P14TA	76439.60	72444.90	294.40	213	81	203	92	139	155	131	163	26	269
P18TA	47652.70	67578.50	296.90	175	122	167	130	91	206	86	211	17	314
P27TA	64022.90	70382.00	274.10	180	94	169	105	129	145	127	147	49	225
P28TA	55441.10	79284.30	285.60	215	71	211	75	141	145	133	153	64	222
SDS21	67087.00	78951.00	251.00	205	47	199	53	163	89	148	104		
SDS22	66304.00	76887.00	283.00	191	93	188	96	149	134	138	145		
SSW3	40532.31	70517.63	178.70	139	40	134	45	89	90	84	95		
YSC1A	65438.93	78039.90	268.90	210	59	199	70	159	110	154	115	69	200
YSC1C	65855.46	78186.24	272.50	215	58	213	60	164	109	157	116		
YSC2A	66100.08	78311.53	281.70	220	62	215	67	162	120	151	131		
YSC3SB	65920.00	77680.00	277.00	211	66	205	72	149	128	140	137		
YSC4A	65883.50	77050.08	287.50	223	65	214	74	160	128	145	143	87	201
YSC5A	67134.90	74295.90	273.00	221	52	209	64	136	137	128	145		
